epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,897.357,1.33874,1.03142,1.41865,0.7758,0.7474,0.829,0.54713,1.16868,0.85807,1.24028,0.0004753,0.0004753,0.0004753
55,913.976,1.3458,1.04523,1.42592,0.7743,0.74056,0.82572,0.56986,1.06485,0.87174,1.2119,0.0004654,0.0004654,0.0004654
56,930.604,1.30332,0.99257,1.40223,0.80196,0.73481,0.83688,0.588,1.0165,0.82369,1.19026,0.0004555,0.0004555,0.0004555
57,947.14,1.31342,1.00393,1.39517,0.78454,0.73262,0.82649,0.55935,1.11119,0.85352,1.22026,0.0004456,0.0004456,0.0004456
58,963.693,1.339,1.01659,1.40775,0.79945,0.73043,0.836,0.56323,1.1243,0.83176,1.23348,0.0004357,0.0004357,0.0004357
59,980.347,1.34071,1.01778,1.41783,0.77986,0.74459,0.83044,0.55675,1.11986,0.84835,1.23518,0.0004258,0.0004258,0.0004258
60,996.931,1.32292,1.01911,1.40704,0.77987,0.73946,0.81947,0.5471,1.14508,0.8703,1.23024,0.0004159,0.0004159,0.0004159
61,1013.51,1.31564,1.0002,1.38709,0.78577,0.74603,0.82928,0.56039,1.10603,0.84305,1.21036,0.000406,0.000406,0.000406
62,1030.15,1.31541,1.00105,1.39053,0.77231,0.76117,0.83545,0.56911,1.08693,0.83238,1.2053,0.0003961,0.0003961,0.0003961
63,1046.69,1.28972,0.97825,1.37744,0.77237,0.76546,0.83862,0.57319,1.07797,0.83118,1.20812,0.0003862,0.0003862,0.0003862
64,1063.23,1.30067,0.97547,1.37858,0.78876,0.73837,0.83116,0.56385,1.10854,0.83118,1.21963,0.0003763,0.0003763,0.0003763
65,1079.74,1.27687,0.97148,1.37524,0.77652,0.75944,0.82958,0.57088,1.05935,0.81535,1.20307,0.0003664,0.0003664,0.0003664
